Opportunity_ID,Title,Organization,Country,Region,Sector,Subsector,Opportunity_Type,Source_ID,Source_URL,PDF_URL,Publication_Offset_Days,Deadline_Offset_Days,Deadline_Time,Budget,Currency,Language,Relevance_Score,Eligibility_Score,Readiness_Score,Eliminatory_Criterion,Status,Priority,Owner,Next_Action,Next_Action_Offset_Days,Missing_Documents,Notes
DEMO-001,DEMO - Developpement d'une plateforme de suivi agricole,DEMO Organisation A,Benin,Afrique de l'Ouest,Digital,Developpement web,Appel d'offres,DEMO-SRC-001,https://example.org/demo/opp-001,https://example.org/demo/dao-001.pdf,-10,28,12:00,45000000,XOF,Francais,88,75,60,NON,A qualifier,Haute,DEMO Utilisateur,Lire le DAO et extraire les exigences,2,,Cas normal - deadline confortable
DEMO-002,DEMO - Etude de faisabilite energie solaire,DEMO Organisation B,Togo,Afrique de l'Ouest,Energie,Solaire,Consultation,DEMO-SRC-002,https://example.org/demo/opp-002,,-6,12,17:00,28000000,XOF,Francais,74,80,70,NON,En preparation,Moyenne,DEMO Utilisateur,Rediger la methodologie,3,,Test couleur jaune (8-15 jours)
DEMO-003,DEMO - Formation en suivi-evaluation,DEMO Organisation C,Cote d'Ivoire,Afrique de l'Ouest,Formation,Monitoring & Evaluation,RFP,DEMO-SRC-001,https://example.org/demo/opp-003,https://example.org/demo/tdr-003.pdf,-14,5,10:00,15000000,XOF,Francais,69,65,40,NON,A preparer,Haute,DEMO Utilisateur,Reunir les documents manquants,1,Attestation fiscale; Releve bancaire,Test couleur orange + documents manquants
DEMO-004,DEMO - Fourniture d'equipements informatiques,DEMO Organisation D,Benin,Afrique de l'Ouest,IT,Materiel,Fourniture,DEMO-SRC-003,https://example.org/demo/opp-004,,-21,1,09:00,9500000,XOF,Francais,81,90,95,NON,Pret a soumettre,Haute,DEMO Utilisateur,Deposer l'offre,0,,Test couleur rouge (J-1)
DEMO-005,DEMO - Appel a projets inclusion financiere,DEMO Organisation E,Senegal,Afrique de l'Ouest,Digital,Fintech,Appel a projets,DEMO-SRC-002,https://example.org/demo/opp-005,,-40,-4,23:59,,EUR,Francais,55,,,A verifier,Expire,Basse,DEMO Utilisateur,Archiver,0,,Test deadline depassee
DEMO-006,DEMO - Audit organisationnel,DEMO Organisation F,Burkina Faso,Afrique de l'Ouest,Formation,Gouvernance,Cabinet,DEMO-SRC-001,https://example.org/demo/opp-006,,-25,2,12:00,22000000,XOF,Francais,79,85,90,NON,Soumis,Moyenne,DEMO Utilisateur,Attendre les resultats,7,,Test regle cle - statut Soumis ne doit PAS apparaitre en rouge
DEMO-007,DEMO - Refonte de site institutionnel,DEMO Organisation G,Benin,Afrique de l'Ouest,Digital,Developpement web,Appel d'offres,DEMO-SRC-003,https://example.org/demo/opp-007,,-60,-20,12:00,18000000,XOF,Francais,84,90,88,NON,Gagne,Moyenne,DEMO Utilisateur,Capitaliser dans References,0,,Test win rate
DEMO-008,DEMO - Cartographie des acteurs de la sante,DEMO Organisation H,Niger,Afrique de l'Ouest,Sante,Data,Consultation,DEMO-SRC-002,https://example.org/demo/opp-008,,-75,-35,12:00,12000000,XOF,Francais,66,70,55,NON,Perdu,Basse,DEMO Utilisateur,Analyser le retour client,0,,Test win rate
DEMO-009,DEMO - Construction d'un centre de formation,DEMO Organisation I,Benin,Afrique de l'Ouest,Construction,Batiment,Appel d'offres,DEMO-SRC-003,https://example.org/demo/opp-009,,-8,20,15:00,320000000,XOF,Francais,85,20,30,OUI,NO-GO,Basse,DEMO Utilisateur,Ne pas soumissionner,0,Certification BTP obligatoire,Test critere eliminatoire - score eleve mais NO-GO
DEMO-010,DEMO - Assistance technique digitalisation,DEMO Organisation J,Mali,Afrique de l'Ouest,Digital,Transformation digitale,AMI,DEMO-SRC-001,https://example.org/demo/opp-010,,-2,40,12:00,,,Francais,,,,A verifier,Nouveau,,,Qualifier l'opportunite,5,,Test champs manquants - scores et budget vides
