Source_ID,Nom,Methode,URL,Pays_Defaut,Secteur_Defaut,Type_Defaut,Active,Derniere_Collecte,Statut
UNDP-RAF,PNUD - avis de marches - toute l'Afrique,RSS,https://procurement-notices.undp.org/rss_feeds/RAF.xml,Afrique (multi-pays),,Appel d'offres,NON,,"Verifie le 2026-08-30 : 141 annonce(s) - volumineux, activez avec prudence. Livree inactive : flux tres volumineux, tous pays confondus. Activez-la si vous prospectez ce marche."
AFDB-EOI,BAD - avis a manifestation d'interet consultants,RSS,https://www.afdb.org/en/about-us/careers/current-vacancies/consultants/rss,Afrique (multi-pays),,AMI,NON,,"Verifie le 2026-09-02 : HTTP 403 sur TOUT le site, robots.txt compris. www.afdb.org est passe derriere un controle anti-robot Cloudflare (page Just a moment..., challenge JavaScript) : aucun client sans navigateur ne passe, quel que soit l'agent utilisateur, et la collecte sequentielle n'y change rien. Desactivee plutot que supprimee, et la methode RSS est conservee : le jour ou la BAD rouvre son site aux clients simples, il suffit de remettre OUI. A consulter a la main en attendant."
UNDP-ALL,PNUD - avis de marches - tous pays confondus,RSS,https://procurement-notices.undp.org/rss_feeds/rss.xml,International,,Appel d'offres,NON,,"Verifie le 2026-08-30 : 429 annonce(s) - volumineux, activez avec prudence. Livree inactive : flux tres volumineux, tous pays confondus. Activez-la si vous prospectez ce marche."
UNDP-BEN,PNUD - avis de marches - Benin,RSS,https://procurement-notices.undp.org/rss_feeds/BEN.xml,Benin,,Appel d'offres,OUI,,Verifie le 2026-08-30 : 1 annonce(s)
BJ-DNCMP,Marches Publics du Benin - appels d'offres,RSS,https://api.marches-publics.bj/v2/rss,Benin,,Appel d'offres,OUI,,"Verifie le 2026-09-02 : 46 annonces. Le portail www.marches-publics.bj est une application Angular, vide cote serveur, et le reste de son API repond 401 : le flux RSS est la SEULE porte publique. Il ne porte AUCUNE echeance - ouvrir le lien pour la date limite - et tous ses titres valent 'Appel d'Offre' : l'objet reel est dans la description, l'acheteur dans <author> (SBEE, ASIN, agences territoriales)."
UNDP-BKF,PNUD - avis de marches - Burkina Faso,RSS,https://procurement-notices.undp.org/rss_feeds/BKF.xml,Burkina Faso,,Appel d'offres,OUI,,Verifie le 2026-08-30 : 3 annonce(s)
UNDP-CVI,PNUD - avis de marches - Cap-Vert,RSS,https://procurement-notices.undp.org/rss_feeds/CVI.xml,Cap-Vert,,Appel d'offres,OUI,,Verifie le 2026-08-30 : 0 annonce(s)
UNDP-IVC,PNUD - avis de marches - Cote d'Ivoire,RSS,https://procurement-notices.undp.org/rss_feeds/IVC.xml,Cote d'Ivoire,,Appel d'offres,OUI,,Verifie le 2026-08-30 : 2 annonce(s)
UNDP-GAM,PNUD - avis de marches - Gambie,RSS,https://procurement-notices.undp.org/rss_feeds/GAM.xml,Gambie,,Appel d'offres,OUI,,Verifie le 2026-08-30 : 4 annonce(s)
UNDP-GHA,PNUD - avis de marches - Ghana,RSS,https://procurement-notices.undp.org/rss_feeds/GHA.xml,Ghana,,Appel d'offres,OUI,,Verifie le 2026-08-30 : 3 annonce(s)
UNDP-GUI,PNUD - avis de marches - Guinee,RSS,https://procurement-notices.undp.org/rss_feeds/GUI.xml,Guinee,,Appel d'offres,OUI,,Verifie le 2026-08-30 : 5 annonce(s)
UNDP-GBS,PNUD - avis de marches - Guinee-Bissau,RSS,https://procurement-notices.undp.org/rss_feeds/GBS.xml,Guinee-Bissau,,Appel d'offres,OUI,,Verifie le 2026-08-30 : 12 annonce(s)
UNDP-LIR,PNUD - avis de marches - Liberia,RSS,https://procurement-notices.undp.org/rss_feeds/LIR.xml,Liberia,,Appel d'offres,OUI,,Verifie le 2026-08-30 : 1 annonce(s)
UNDP-MLI,PNUD - avis de marches - Mali,RSS,https://procurement-notices.undp.org/rss_feeds/MLI.xml,Mali,,Appel d'offres,OUI,,Verifie le 2026-08-30 : 1 annonce(s)
